vin,name,model_id,make_name,model_name,body_style,door_count,engine_cylinders,price,transmission,trim,year,normalized_color_exterior,normalized_color_interior
5N1AT3CA4MC816744,Nissan Rogue,20000515,Nissan,Rogue,SUV,4,0,22695,Automatic,SL,2021,Red,Gray
1N6ED1EK9PN603663,Nissan Frontier,20000506,Nissan,Frontier,Regular Side,4,0,36498,Automatic,SV,2023,White,Gray
JN8AF5MR1BT001432,Nissan Juke,20000991,Nissan,Juke,SUV,4,0,4999,Automatic,SV,2011,Gray,Black
1N6AA07AX7N239551,Nissan Titan,20000517,Nissan,Titan,Pickup Truck,4,0,8888,Automatic,XE Crew Cab,2007,Blue,Gray
1N6AD0ER6CC478584,Nissan Frontier,20000506,Nissan,Frontier,Regular Side,4,0,13795,Automatic,S,2012,Silver,Gray
3N1CP5BV3PL564305,Nissan Kicks,20001454,Nissan,Kicks,SUV,4,0,21998,Automatic,S,2023,Blue,Gray
5N1BT3BA9PC769981,Nissan Rogue,20000515,Nissan,Rogue,Sport Utility,4,0,24750,Automatic,SV,2023,Blue,Gray
1N4BL4DV0NN357868,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,17999,Automatic,2.5 SV,2022,Blue,Gray
1N4AL3APXFC143978,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,9495,Automatic,2.5 S,2015,Black,Gray
1N6ED1EJ9PN606411,Nissan Frontier,20000506,Nissan,Frontier,Pickup Truck,4,0,34795,Automatic,SV,2023,Blue,Gray
1N6ED1EJ9PN641465,Nissan Frontier,20000506,Nissan,Frontier,Pickup Truck,4,0,28998,Automatic,S,2023,Black,Gray
3N1CN7AP9EL820674,Nissan Versa,20000521,Nissan,Versa,Sedan,4,0,8495,Automatic,1.6 S+,2014,Silver,
3N1CP5CV8NL510669,Nissan Kicks,20001454,Nissan,Kicks,Sport Utility,4,0,19595,Automatic,SV,2022,Gray,Gray
5N1DR3BA5NC255291,Nissan Pathfinder,20000512,Nissan,Pathfinder,Sport Utility,4,0,32700,Automatic,SV,2022,White,Gray
JN8AT2MTXGW002250,Nissan Rogue,20000515,Nissan,Rogue,SUV,4,0,11495,Automatic,SL,2016,Silver,Gray
3N1CN8FV2ML920790,Nissan Versa,20000521,Nissan,Versa,Sedan,4,0,18711,Automatic,1.6 SR,2021,Gray,Gray
3N6CM0KN4LK700320,Nissan NV200,20001111,Nissan,NV200,Cargo Van,4,0,32995,Automatic,S,2020,White,Gray
5N1AZ2MG1HN198000,Nissan Murano,20000511,Nissan,Murano,SUV,4,0,14995,Automatic,S,2017,Red,
1N6AD0EV1DN719468,Nissan Frontier,20000506,Nissan,Frontier,Pickup Truck,4,0,13999,Manual,S,2013,Silver,Gray
3N1AB7AP2DL752023,Nissan Sentra,20000516,Nissan,Sentra,Sedan,4,0,6802,Automatic,SR,2013,Black,Gray
1N6ED0EAXLN718171,Nissan Frontier,20000506,Nissan,Frontier,Pickup Truck,4,0,18949,Automatic,SV,2020,White,Gray
KNMAT2MT0JP558063,Nissan Rogue,20000515,Nissan,Rogue,Sport Utility,4,0,15789,Automatic,S,2018,Black,Gray
3N1CB7AP2HY344252,Nissan Sentra,20000516,Nissan,Sentra,Sedan,4,0,11400,Automatic,SR,2017,Silver,Gray
1N4BL4DV1LC266634,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,19999,Automatic,2.5 SV,2020,Gray,Gray
JN1BJ1CP5JW106465,Nissan Rogue Sport,20001402,Nissan,Rogue Sport,SUV,4,0,11995,Automatic,SV,2018,Red,Gray
1N6AD0ER2JN767575,Nissan Frontier,20000506,Nissan,Frontier,Pickup Truck,4,0,23995,Automatic,SV,2018,Black,Beige
1N6AA06A35N561477,Nissan Titan,20000517,Nissan,Titan,Regular Side,4,0,9795,Automatic,XE King Cab,2005,Green,Gray
1N6ED1EJ9NN612786,Nissan Frontier,20000506,Nissan,Frontier,Pickup Truck,4,0,27977,Automatic,PRO-4X,2022,Black,Gray
5N1AZ2MJ3KN136780,Nissan Murano,20000511,Nissan,Murano,SUV,4,0,19999,Automatic,SL,2019,White,Gray
1N4AL3AP7EC114565,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,9900,Automatic,2.5 SL,2014,White,Black
JN1BJ1AW8MW668245,Nissan Rogue Sport,20001402,Nissan,Rogue Sport,Sport Utility,4,0,17577,Automatic,S,2021,Gray,Gray
1N6ED1EJ8NN693151,Nissan Frontier,20000506,Nissan,Frontier,Pickup Truck,4,0,28499,Automatic,S,2022,Black,Gray
1N4BL4CV3LN303723,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,15977,Automatic,2.5 SR,2020,Gray,Orange
5N1AZ2MH5GN122531,Nissan Murano,20000511,Nissan,Murano,SUV,4,0,13999,Automatic,SV,2016,Black,Black
1N4BL4DV5PN344987,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,20000,Automatic,2.5 SV,2023,Gray,Gray
1N6AD0EV5DN749489,Nissan Frontier,20000506,Nissan,Frontier,Regular Side,4,0,12999,Automatic,SV,2013,Silver,Gray
3N1CN7AP5JL854315,Nissan Versa,20000521,Nissan,Versa,Sedan,4,0,7995,Automatic,1.6 S+,2018,Gray,Gray
1N4AL3AP7HC139034,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,9495,Automatic,2.5 SR,2017,Gray,Blue
1N6DD26S8WC385211,Nissan Frontier,20000506,Nissan,Frontier,Pickup Truck,2,0,11995,Manual,XE,1998,Blue,Gray
5N1BT3AA3PC813734,Nissan Rogue,20000515,Nissan,Rogue,Sport Utility,4,0,24250,Automatic,S,2023,White,Gray
5N1DR3BA7NC249041,Nissan Pathfinder,20000512,Nissan,Pathfinder,SUV,4,0,28988,Automatic,SV,2022,Blue,Gray
5N1AA0NC6AN604625,Nissan Armada,20000505,Nissan,Armada,Sport Utility,4,0,4988,Automatic,SE,2010,Orange,Gray
5N1DR3DG7PC261484,Nissan Pathfinder,20000512,Nissan,Pathfinder,SUV,4,0,40998,Automatic,Platinum,2023,Gray,Brown
JN8AT2MVXLW138938,Nissan Rogue,20000515,Nissan,Rogue,Sport Utility,4,0,18600,Automatic,SV,2020,Silver,Gray
5N1AT2MT6LC778541,Nissan Rogue,20000515,Nissan,Rogue,SUV,4,0,17949,Automatic,SV,2020,Gray,Gray
3N6CM0KN3FK706467,Nissan NV200,20001111,Nissan,NV200,Cargo Van,4,0,21995,Automatic,S,2015,White,Gray
3N6CM0KN7FK710098,Nissan NV200,20001111,Nissan,NV200,Cargo Van,4,0,19995,Automatic,S,2015,White,Gray
1N6AD0EV5KN798625,Nissan Frontier,20000506,Nissan,Frontier,Pickup Truck,4,0,19885,Automatic,PRO-4X,2019,Black,
JN8AE2KP4G9150800,Nissan Quest,20000514,Nissan,Quest,Passenger Van,4,0,10990,Automatic,SV,2016,Gray,Beige
5N1BT3BA9NC686287,Nissan Rogue,20000515,Nissan,Rogue,suv,4,3,26488,Automatic,SV,2022,Gun Metallic,Charcoal
1N4BL4CV8PN407954,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,25200,Automatic,2.5 SR,2023,Silver,Orange
5N1AT3BA6MC791895,Nissan Rogue,20000515,Nissan,Rogue,SUV,4,0,19500,Automatic,SV,2021,Silver,Gray
3N1AB7AP2HY398755,Nissan Sentra,20000516,Nissan,Sentra,Sedan,4,0,11999,Manual,S,2017,Silver,Gray
KNMAT2MV7HP542812,Nissan Rogue,20000515,Nissan,Rogue,SUV,4,0,17995,Automatic,S,2017,White,Black
5N1AT2MV2FC924990,Nissan Rogue,20000515,Nissan,Rogue,Sport Utility,4,0,15998,Automatic,S,2015,White,Beige
3N1CN7AP1KL844561,Nissan Versa,20000521,Nissan,Versa,Sedan,4,0,9995,Automatic,1.6 S+,2019,Gray,Gray
3N1BC1CP9BL499937,Nissan Versa,20000521,Nissan,Versa,Hatchback,4,0,5999,Automatic,1.8 S,2011,Gray,Gray
3N1CN7AP3FL879978,Nissan Versa,20000521,Nissan,Versa,Sedan,4,0,7995,Automatic,1.6 SV,2015,,
5N1AT2MT5HC838493,Nissan Rogue,20000515,Nissan,Rogue,SUV,4,0,12222,Automatic,S,2017,Black,Gray
JN8AT2MTXJW463973,Nissan Rogue,20000515,Nissan,Rogue,SUV,4,0,17300,Automatic,SL,2018,Silver,Gray
1N4BL4DW8KC191485,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,19998,Automatic,2.5 SV,2019,Orange,Black
3N1AB8CV9PY304936,Nissan Sentra,20000516,Nissan,Sentra,Sedan,4,0,21937,Automatic,SV,2023,Gray,Gray
5N1BT3CB3PC789425,Nissan Rogue,20000515,Nissan,Rogue,Sport Utility,4,0,27655,Automatic,SL,2023,Gray,Gray
3N1AB6AP3CL754307,Nissan Sentra,20000516,Nissan,Sentra,Sedan,4,0,4499,Automatic,2.0 S,2012,Red,Gray
1N6MD29Y12C371726,Nissan Frontier,20000506,Nissan,Frontier,Pickup Truck,4,0,0,Automatic,S/C Crew Cab,2002,Gold,Gray
1N4BL4DW2NN355726,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,21844,Automatic,2.5 SV,2022,Gray,Gray
3N1AB7AP7EY237135,Nissan Sentra,20000516,Nissan,Sentra,Sedan,4,0,0,Manual,S,2014,Silver,Gray
JN1AR5BF7RM220348,Nissan GT-R,20000509,Nissan,GT-R,Coupe,2,0,145995,Automatic,Premium,2024,White,Gray
1N4BL4DW2NN366709,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,21170,Automatic,2.5 SV,2022,Black,Gray
3N1AB8CV3LY252133,Nissan Sentra,20000516,Nissan,Sentra,Sedan,4,0,16999,Automatic,SV,2020,Black,Gray
3N1AB8CV8LY242696,Nissan Sentra,20000516,Nissan,Sentra,Sedan,4,0,15500,Automatic,SV,2020,Black,Gray
5N1BT3BB8PC769432,Nissan Rogue,20000515,Nissan,Rogue,Sport Utility,4,0,27000,Automatic,SV,2023,Blue,Gray
