vin,name,model_id,make_name,model_name,body_style,door_count,engine_cylinders,price,transmission,trim,year,normalized_color_exterior,normalized_color_interior
WBAVM1C58EVW52413,BMW X1,20000934,BMW,X1,Sport Utility,4,0,10399,Automatic,sDrive 28i,2014,White,Black
5UXTY5C06M9G40053,BMW X3,20000034,BMW,X3,SUV,4,0,31998,Automatic,xDrive30i,2021,White,Black
WBSJF0C51KB285091,BMW 5-Series,20000030,BMW,5-Series,Sedan,4,0,52231,Automatic,,2019,Black,White
5UXKU2C34H0U30266,BMW X6,20000748,BMW,X6,SUV,4,0,28999,Automatic,xDrive35i,2017,Black,Red
5UXCR4C0XM9H18311,BMW X5,20000035,BMW,X5,SUV,4,0,44881,Automatic,sDrive40i,2021,Blue,Black
5UXCX6C02N9M72273,BMW X7,20001703,BMW,X7,suv,4,8,68797,Automatic,M50i,2022,Tanzanite Blue II Metallic,
WBSAE0C09LCD56219,BMW 8-Series,20000033,BMW,8-Series,Coupe,2,0,76777,Automatic,Coupe,2020,Gray,Orange
WBY1Z4C57EVX63330,BMW i3,20001124,BMW,i3,Hatchback,4,0,9772,Automatic,w/Range Extender,2014,White,Brown
5UXTY3C08M9H44144,BMW X3,20000034,BMW,X3,SUV,4,0,32965,Automatic,sDrive30i,2021,Black,Black
5UXKU2C51K0Z65399,BMW X6,20000748,BMW,X6,Sport Utility,4,0,31995,Automatic,xDrive35i,2019,White,Black
WB533CF07RCN42698,BMW iX,20001847,BMW,iX,SUV,4,0,97395,Automatic,M60,2024,Blue,Brown
WBSNB93517CX07122,BMW 5-Series,20000030,BMW,5-Series,Sedan,4,0,15995,Automatic,,2007,Gray,Gray
WBXYJ5C57K5N54133,BMW X2,20001451,BMW,X2,Sport Utility,4,0,22000,Automatic,xDrive28i,2019,Orange,Brown
5YMKT6C58F0C89108,BMW X5,20000035,BMW,X5,SUV,4,0,37990,Automatic,,2015,Silver,Silver
5UXCR4C0XM9G19178,BMW X5,20000035,BMW,X5,SUV,4,0,39998,Automatic,sDrive40i,2021,Black,Black
5UXJU4C01M9E13009,BMW X5,20000035,BMW,X5,SUV,4,0,56911,Automatic,M50i,2021,Black,White
WB523CF0XRCN49088,BMW iX,20001847,BMW,iX,Sport Utility,4,0,85555,Automatic,xDrive50,2024,Blue,Black
5UXCR4C08M9E73699,BMW X5,20000035,BMW,X5,SUV,4,0,41411,Automatic,sDrive40i,2021,Gray,Black
5UXCR4C0XM9G43142,BMW X5,20000035,BMW,X5,SUV,4,0,38498,Automatic,sDrive40i,2021,White,Black
5UXTY3C07M9H44376,BMW X3,20000034,BMW,X3,SUV,4,0,37885,Automatic,sDrive30i,2021,Gray,
5UXCR6C53KLL01987,BMW X5,20000035,BMW,X5,Sport Utility,4,0,28894,Automatic,xDrive40i,2019,Gray,Black
5UXKR2C36H0U22204,BMW X5,20000035,BMW,X5,SUV,4,0,19994,Automatic,sDrive35i,2017,White,Orange
WB523CF01PCL86408,BMW iX,20001847,BMW,iX,Sport Utility,4,0,67995,Automatic,xDrive50,2023,White,Black
